O1x,O2x,O3x,O4x,O5x,O1y,O2y,O3y,O4y,O5y,Rshot
-9.79,-23.72,14.65,23.25,-0.86,16.41,43.71,15.8,38.58,37.22,3
-19.37,22.31,19.1,-11.11,1.01,24.45,38.86,20.64,36.18,4.56,3
-19.42,-1.44,23.43,-10.49,19.92,25.65,13.55,39.92,30.52,23.66,3
23.71,19.2,-2.46,-20.59,-2.02,42.59,23.38,49.46,37.35,16.71,3
-18.02,6.76,19.36,23.42,-22.64,16.81,11.71,21.3,39.25,41.54,3
21.98,-23.42,-2.61,-3.77,2.13,31.67,34.38,12.61,42.68,28.0,3
-3.55,-0.56,-3.73,17.02,-21.53,39.34,44.79,14.91,23.17,36.2,3
-8.07,-21.69,-9.59,19.04,9.47,33.7,39.99,19.27,26.96,49.28,3
-10.16,16.02,8.04,-19.09,-7.62,14.31,23.58,19.6,19.1,33.96,3
-22.78,-14.85,-14.75,10.86,4.31,33.32,16.81,37.41,27.21,14.84,3
23.2,-5.08,-20.55,1.15,-6.25,35.16,47.95,35.07,39.47,14.49,3
3.95,17.78,-13.99,-13.77,1.04,10.69,27.4,21.08,47.65,14.88,3
-4.35,-2.03,22.54,3.88,11.62,10.31,41.89,40.17,29.6,16.04,3
-4.98,-1.14,-16.01,2.35,-22.99,47.97,39.31,17.65,41.1,41.59,3
15.06,-6.25,11.56,21.51,-14.29,20.86,11.62,33.05,36.5,13.6,3
5.85,-12.67,-23.21,19.7,-3.62,18.14,16.54,39.48,37.37,37.42,3
8.99,-7.5,4.67,12.9,22.73,12.67,38.42,31.91,34.0,42.5,3
-2.92,22.72,-21.58,19.05,-0.75,16.97,36.98,35.61,19.01,34.54,3
-8.33,8.09,-22.91,-19.21,13.72,32.33,15.99,41.42,26.43,32.74,3
22.53,-11.13,-21.95,-2.49,-3.0,38.28,32.54,38.94,17.49,32.1,3
23.02,-21.93,-17.87,2.01,-1.37,31.7,42.09,20.28,18.22,36.6,3
-16.7,15.36,-0.22,-23.73,10.78,22.6,21.93,15.38,43.81,41.26,3
1.5,-20.58,24.27,-3.56,-12.01,36.86,27.32,42.61,15.98,43.97,3
1.18,22.88,-3.91,-22.67,14.87,37.81,38.01,17.13,41.29,16.14,3
-23.2,9.44,12.86,22.91,-14.63,44.48,19.28,44.66,38.35,19.67,3
23.08,2.52,13.92,-22.72,-3.91,37.62,29.41,12.84,38.4,41.12,3
-23.22,14.71,3.02,-20.13,-0.18,44.38,18.31,18.4,26.25,38.08,3
-20.42,17.64,-0.81,23.34,-9.02,33.56,15.18,17.14,38.25,18.39,3
14.72,-13.27,21.19,-23.02,5.42,26.21,36.03,39.23,34.23,19.06,3
-13.36,9.88,-1.92,22.16,8.57,34.45,41.3,30.37,35.86,16.74,3
-13.61,-1.22,22.91,-3.76,20.9,40.22,20.51,42.58,45.66,22.45,3
-4.46,3.57,6.43,-22.64,4.76,17.91,42.1,39.64,40.28,10.86,3
22.62,7.67,-22.58,11.83,-4.54,40.0,38.03,36.43,17.03,35.36,3
-11.58,-23.08,-4.98,4.6,-8.14,17.14,36.11,30.54,13.78,43.95,3
22.01,12.86,-17.67,-15.35,7.58,32.03,43.91,32.64,20.7,16.71,3
7.35,22.42,20.53,-23.08,-12.56,21.52,33.28,41.69,39.69,19.55,3
5.69,-23.08,-10.7,-22.6,4.02,13.97,31.1,17.02,42.42,37.36,3
-5.75,23.21,15.3,-16.85,-22.47,19.04,41.78,19.2,35.06,34.03,3
-2.17,-9.27,9.38,10.37,19.12,44.14,15.96,28.89,19.03,38.06,3
-6.04,22.91,0.36,-21.94,13.22,7.24,36.21,33.33,26.63,15.36,3
-5.54,-18.19,3.54,-23.1,12.51,15.27,22.47,37.13,40.83,14.71,3
2.42,17.04,7.27,-21.07,4.33,11.4,23.75,36.57,40.28,41.71,3
-20.6,10.02,-10.6,23.25,-7.38,22.51,16.43,16.13,37.75,44.41,3
-11.41,-21.89,-23.58,11.97,7.86,15.82,26.65,39.26,18.03,43.79,3
-10.81,22.38,-5.5,14.84,-20.52,18.43,38.54,40.13,17.35,34.21,3
-19.25,22.75,1.42,10.08,-15.08,39.42,35.75,34.25,12.08,11.42,3
21.43,7.62,-22.55,-15.24,-9.9,30.7,11.22,36.1,20.35,29.12,3
9.39,22.58,-6.25,-20.86,10.17,43.81,37.14,13.67,25.68,18.48,3
